[#] 0284 | 2026-01-14 19:04:38 | СИСТЕМА      | DUPLICATES      | 🔍 Найдено дубликатов ProcessManager.exe: 10
[*] 0285 | 2026-01-14 19:04:38 | КОНСОЛЬ      | DUPLICATES      | 🎯 Определен самый новый процесс PID: 18932
[*] 0286 | 2026-01-14 19:04:38 | КОНСОЛЬ      | DUPLICATES      | ✅ Оставляем НОВЫЙ ProcessManager.exe PID: 18932
[-] 0287 | 2026-01-14 19:04:38 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 10672
[-] 0288 | 2026-01-14 19:04:38 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 13700
[-] 0289 | 2026-01-14 19:04:38 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 17716
[-] 0290 | 2026-01-14 19:04:38 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 17468
[-] 0291 | 2026-01-14 19:04:38 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 14228
[-] 0292 | 2026-01-14 19:04:39 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 8412
[-] 0293 | 2026-01-14 19:04:39 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 13820
[-] 0294 | 2026-01-14 19:04:39 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 7180
[-] 0295 | 2026-01-14 19:04:39 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 15092
[#] 0296 | 2026-01-14 19:04:39 | СИСТЕМА      | DUPLICATES      | 🧹 Закрыто старых процессов: 9, оставлен новый: 18932
[~] 0297 | 2026-01-14 19:04:39 | ИЗМЕНЕНИЕ    | WMI_EVENT       | 💥 Обнаружено завершение: ProcessManager.exe (PID: 10672, ExitCode: -1)
[#] 0298 | 2026-01-14 19:04:39 | СИСТЕМА      | WMI_EVENT       | 🚀 Перезапуск ProcessManager.exe через WMI Events
[*] 0299 | 2026-01-14 19:04:39 | КОНСОЛЬ      | WMI_EVENT       | 🛡️ ProcessManager.exe уже существует, запуск отменен
[~] 0300 | 2026-01-14 19:04:40 | ИЗМЕНЕНИЕ    | WMI_EVENT       | 💥 Обнаружено завершение: ProcessManager.exe (PID: 13700, ExitCode: -1)
[#] 0301 | 2026-01-14 19:04:40 | СИСТЕМА      | WMI_EVENT       | 🚀 Перезапуск ProcessManager.exe через WMI Events
[*] 0302 | 2026-01-14 19:04:40 | КОНСОЛЬ      | WMI_EVENT       | 🛡️ ProcessManager.exe уже существует, запуск отменен
[#] 0303 | 2026-01-14 19:04:41 | СИСТЕМА      | DUPLICATES      | 🔍 Найдено дубликатов ProcessManager.exe: 4
[*] 0304 | 2026-01-14 19:04:41 | КОНСОЛЬ      | DUPLICATES      | 🎯 Определен самый новый процесс PID: 18932
[*] 0305 | 2026-01-14 19:04:41 | КОНСОЛЬ      | DUPLICATES      | ✅ Оставляем НОВЫЙ ProcessManager.exe PID: 18932
[-] 0306 | 2026-01-14 19:04:41 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 13580
[-] 0307 | 2026-01-14 19:04:41 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 17368
[-] 0308 | 2026-01-14 19:04:41 | ОТКЛЮЧЕНИЕ   | DUPLICATES      | ❌ Закрыт СТАРЫЙ ProcessManager.exe PID: 10536
[#] 0309 | 2026-01-14 19:04:41 | СИСТЕМА      | DUPLICATES      | 🧹 Закрыто старых процессов: 3, оставлен новый: 18932
[~] 0310 | 2026-01-14 19:04:41 | ИЗМЕНЕНИЕ    | WMI_EVENT       | 💥 Обнаружено завершение: ProcessManager.exe (PID: 13820, ExitCode: -1)
[#] 0311 | 2026-01-14 19:04:41 | СИСТЕМА      | WMI_EVENT       | 🚀 Перезапуск ProcessManager.exe через WMI Events
[*] 0312 | 2026-01-14 19:04:41 | КОНСОЛЬ      | WMI_EVENT       | 🛡️ ProcessManager.exe уже существует, запуск отменен
[~] 0313 | 2026-01-14 19:04:42 | ИЗМЕНЕНИЕ    | WMI_EVENT       | 💥 Обнаружено завершение: ProcessManager.exe (PID: 14228, ExitCode: -1)
[#] 0314 | 2026-01-14 19:04:42 | СИСТЕМА      | WMI_EVENT       | 🚀 Перезапуск ProcessManager.exe через WMI Events
[*] 0315 | 2026-01-14 19:04:42 | КОНСОЛЬ      | WMI_EVENT       | 🛡️ ProcessManager.exe уже существует, запуск отменен
[#] 0316 | 2026-01-14 19:04:44 | СИСТЕМА      | DUPLICATES      | 🔍 Найдено дубликатов ProcessManager.exe: 9
[*] 0317 | 2026-01-14 19:04:44 | КОНСОЛЬ      | DUPLICATES      | 🎯 Определен самый новый процесс PID: 18932
